58FE1269-B8C1-489D-9F2C-4E86BA71433A,JUTE BAGS,5000,Numbers / day,06-08-2016,06-08-2016,0B886542-0F56-4EC4-98C4-DF9AEBDACA11
C9E5F3FD-90BF-429A-A8D0-45131DA3C763,ALIMRA/ TRUNK,5,Numbers / day,06-08-2016,06-08-2016,4253DA0D-C311-4481-830D-75BB85C67A8F
5A559653-A443-4521-8626-733CC8146E09,Plastic moulding,1000,Numbers / day,06-08-2016,06-08-2016,FDF526CC-00E5-4895-90CC-7096CB79AF37
771A8DDC-0D6A-41A4-A9BF-42720A303C8B, COATED STEEL PIPE ,5,TPD (Tons / day),06-08-2016,06-08-2016,36A750D6-2AB7-4B00-A640-A12742934E32
1010084A-3793-494D-934E-67C1418E0F97,Refiend Oil,3,TPD (Tons / day),08-08-2016,08-08-2016,223E620F-FEF6-4127-98F0-05120ABC3C95
C5D5EE57-83AC-4C6B-B912-368B603C718D,OIL CAKE,17,TPD (Tons / day),08-08-2016,08-08-2016,D82D566A-BFF8-41AF-8A70-1272FCE97ED3
3C3B437B-DDA8-4E42-9A11-4F7334D7ABB4,OIL,2.2,TPD (Tons / day),08-08-2016,08-08-2016,D82D566A-BFF8-41AF-8A70-1272FCE97ED3
793D2E5D-5487-49B5-8DBC-3DA9FD1D9403,ManufacturingDesigning of Furniture Goods and Articles Seasoning of Goods,0.8,TPD (Tons / day),09-08-2016,09-08-2016,0CB7237D-B0AD-4CB8-B68A-EC74286D210B
688731E2-AD45-46F1-88F2-B92BD32CF667,Ciprofloxacin,0.17,TPD (Tons / day),17-09-2016,17-09-2016,834A0E23-C332-434E-98FC-3A0DF1332E4A
7936D790-2B0A-4C71-9D51-522A506CB489,Rice,22,TPD (Tons / day),12-08-2016,12-08-2016,A80961EB-F2E5-4C68-92B8-A03BC3DDC2FE
4E9B3E39-7554-4837-ABBD-5AC43E143668,building,1,Numbers / day,12-08-2016,12-08-2016,38B0F3BD-01FE-4513-9433-44A21D8B1CF7
5B333787-0913-4B26-ADC0-59F7A51EFDC3,Bags,0.05,TPD (Tons / day),16-08-2016,16-08-2016,A4184722-5DCB-4A44-9E17-97D3E09CB36F
0064C727-B0B2-49FF-BD7B-FF7369D0EC51,HOSE CLIMP,1,Numbers / day,17-08-2016,17-08-2016,A3419C5B-D4B2-40A2-8964-DF90DBD4D025
7A2F1063-FD96-4FBB-9640-64C76922CB7D,TOILET SHEET,1,Numbers / day,17-08-2016,17-08-2016,A3419C5B-D4B2-40A2-8964-DF90DBD4D025
FFF751FF-1D31-4B44-9A13-5C4EF9E56571,frozen buffalo meat,400,TPD (Tons / day),02-09-2016,02-09-2016,4681B2E5-2D30-45B0-8F70-CC5D53BAEC70
1CEA5D94-DB9A-4571-956E-14D1BD53A904,CABLE KIT,200,Numbers / day,19-08-2016,19-08-2016,30E22EB9-1937-4338-A4A2-FFDE138F9E96
DDEA6D58-4F2A-45F4-91CD-09D93E5AF9B3,not applicable,1,TPD (Tons / day),31-08-2016,31-08-2016,8BAD38D8-6ECE-49C1-9F87-868C0032B89B
6F885A38-C245-4E97-BF93-41F84E75142F,Brick,16000,Numbers / day,24-08-2016,24-08-2016,08235088-FDAC-4151-BE3A-C65908BDD39B
27FCDC92-FDAF-4376-AF44-0532905E75A2,Ready to Eat and Ready to Cook food products,2.5,TPD (Tons / day),25-08-2016,25-08-2016,D3E4195A-80BA-4A2F-B9EC-6DBA4BC17FE6
7659FF4E-66D0-4CB4-9537-51678B0BECA0,Lead Ingots,12,TPD (Tons / day),26-08-2016,26-08-2016,7B0C6F54-EA01-454F-A17A-0D930985ED6C
3F53917C-CF93-4116-B2C0-F573BD45A03A,"Stainless Steel Cutlery, Utensils",43978,Numbers / day,31-08-2016,31-08-2016,A2811D63-46C3-493B-8961-0B6E6E091626
D3E6BF49-94C0-46D5-9516-19817C4F3385,Recycled Kraft Paper,28.5,TPD (Tons / day),09-09-2016,09-09-2016,D3D99F80-3FC8-4EDD-9743-A51E280D0228
0A077CB5-69AC-4440-B4A6-44D785EFA92A,Sweets namkeen,15,TPD (Tons / day),26-08-2016,26-08-2016,CB954FA1-209F-4667-AAA8-C163EE01580B
27A668B3-7F0F-40CF-A22F-1F36C23A3D19,Aluminium Wire,1.64,TPD (Tons / day),29-08-2016,29-08-2016,4B906EC8-C0D4-4AA5-821F-74D492A62146
177E55B2-C9F6-4EBB-8AA6-2B1B71BE9F55,PCC Poles,120,Numbers / day,29-08-2016,29-08-2016,82C9C18C-E1FA-4A83-9956-9759919C3E11
320C05A2-92BB-4F0F-A494-2BF1FCFCBB76,PU RUBBER ROLLER,30,Numbers / day,30-08-2016,30-08-2016,C408476F-02EE-414D-89F6-07061D9FA201
5D2AB4AD-91C2-4604-AB3A-89CA77E7AFE8,"Bio Power Unit, KW Hour",100,Numbers / day,30-08-2016,30-08-2016,80C03581-D5C9-410D-B4B4-D1951ED7CE75
1161D2A9-2963-4981-A361-F2E89BAE3D05,Bio Fertilizer,4,TPD (Tons / day),30-08-2016,30-08-2016,80C03581-D5C9-410D-B4B4-D1951ED7CE75
CB400C24-746E-43A7-933E-62B0BC93DC82,"Organic Dhoop, Soap",0.05,TPD (Tons / day),30-08-2016,30-08-2016,80C03581-D5C9-410D-B4B4-D1951ED7CE75
3D99DFE8-4E36-40EF-BF8C-147C12389256,Fabric,129.88,TPD (Tons / day),31-08-2016,31-08-2016,042B7C0F-46DA-4476-9371-D242ADE6E2D4
67DD2809-5E48-4872-BDEF-3E2709982951,Pasteurized Milk,150,KLD (Kilo Litre / day),03-09-2016,03-09-2016,03503DA3-56E5-445D-950B-CC56ED5FD22B
7779090B-0E4F-47D9-A5BF-CC413220702C,Cloth Thread etc,5000,Numbers / day,06-09-2016,06-09-2016,2DB71826-2756-453E-9C97-970EF528CB09
1AF104E2-2FB5-4657-BF24-4D42E2FA0C36,BATTERY,400,Numbers / day,06-09-2016,06-09-2016,329A1B84-559F-4C9D-AE86-56ED96BB5D66
2DFCD2C0-7399-4C55-AC79-4BC58ED0EE6F,Readymade Garments,5000,Numbers / day,06-09-2016,06-09-2016,5CD86B4F-650E-417A-BD6F-CE643D786F38
D8E3243F-B26E-487D-A49A-4B6A8A674DB3,RUBBER SCRAP,0.4,TPD (Tons / day),06-09-2016,06-09-2016,33AE3426-AAF7-402D-9BDA-77469D8DF13B
4B0D7EDA-00CB-49AA-A67B-EE1090A796E4,speaker repair,10,Numbers / day,25-10-2016,25-10-2016,B51D050E-1B29-43B3-B610-81A47FBCF014
3189038C-BE10-4A7C-88C3-6898DF000FC9,DJ box,5,Numbers / day,25-10-2016,25-10-2016,B51D050E-1B29-43B3-B610-81A47FBCF014
16FCD65E-FDDC-42D6-9C66-5642C0E92646,Break Comber,10,TPD (Tons / day),14-09-2016,14-09-2016,C7A267FF-D1B1-4538-967C-EBF2C7F8F905
F84975F6-83CD-434A-BD5A-701AC6BBB3FA,AUTO COMPONETS,15000,Numbers / day,08-09-2016,08-09-2016,B6A52FBA-36A4-4B8F-9CD1-518149120D41
FD070B48-D769-4384-9B62-6BD11ED11B2F,PATATO ONION AND FRUITS,1740,TPD (Tons / day),19-09-2016,19-09-2016,8F823A1B-FF92-4248-9843-34A9A2FD5567
556A1C32-31E7-4803-B7C7-C9385892EFAF,RUBBER,4,TPD (Tons / day),15-09-2016,15-09-2016,1D2D5C22-056C-4B65-994B-36EF85178994
4E8434CB-3E88-4107-ABC0-7CACB30DE04A,Mustered Oil and Cotton,3,TPD (Tons / day),16-09-2016,16-09-2016,1C3F4D7A-7574-446D-AFB4-EC1535A1A401
C2435A36-5653-4683-AEAB-3E2E6E67D20E,COILS,1000,Numbers / day,16-09-2016,16-09-2016,5692D9F9-0677-40DC-9697-8698253D2643
978B0DE4-47CA-416E-B6DE-8EC15799285F,VEG. FOODS ,5,TPD (Tons / day),23-09-2016,23-09-2016,73B16C62-E53B-442F-97C1-0B52B3EAB026
D678EBF8-2A24-4C79-A95E-3B40EC27BC7F,Textile,520,TPD (Tons / day),19-09-2016,19-09-2016,240CB130-3A7D-4AED-B94E-09041D67433B
2A587AB8-D1EE-4783-B599-D7AFE5588D9B,SHEET METAL,5,TPD (Tons / day),25-09-2016,25-09-2016,21D64369-D721-4516-A8CE-833BEFEDF99A
8C0CDD31-2C81-4409-8DE3-BE4E7B329F8D,TOOL,100,Numbers / day,25-09-2016,25-09-2016,DC05B486-8384-45A9-AF36-C4EADA991D11
4EE20B31-C4AA-47CD-98EA-CDDD999DC4BD,GAD,2,TPD (Tons / day),21-12-2016,21-12-2016,762A8A73-E01C-4317-9097-3DB76CDD38D7
ACC9FCA2-629D-4280-B35A-788947E3A4C6,SHORTAGE,2,TPD (Tons / day),21-12-2016,21-12-2016,762A8A73-E01C-4317-9097-3DB76CDD38D7
C3AE714F-A4BA-4D34-82FE-34000E5B4310,OIL CAKE,85.5,TPD (Tons / day),21-12-2016,21-12-2016,762A8A73-E01C-4317-9097-3DB76CDD38D7
0DB31F31-85F6-48FC-A682-0B0AD52FFB74,OIL,10.5,TPD (Tons / day),21-12-2016,21-12-2016,762A8A73-E01C-4317-9097-3DB76CDD38D7
BCBFBE78-7851-4F90-B74C-A3499C51732B,Ginning and Oil,40,TPD (Tons / day),26-09-2016,26-09-2016,D4B646A8-5FD8-44F3-B80A-EB6965B0B1D1
729898B6-C297-4D75-AB54-B2B2F5D04119,"Polymer, Insulator and Cables",1200,Numbers / day,27-09-2016,27-09-2016,B221C9C2-E3C4-4C90-A538-19F8F5093B56
18DB487D-0DB1-453F-B349-D26AB7E094DE,Rice,67,TPD (Tons / day),26-09-2016,26-09-2016,10FC5287-298E-4704-AEA9-D0CB52CAEE6C
CBE50626-52BC-4D41-888E-4EF0A962EB0D,Biscuit,123,TPD (Tons / day),26-09-2016,26-09-2016,9A40E413-204B-4798-825E-3E6FD8CEC877
67C03541-B8AD-41CC-9DBF-B8BB836B8A0B,Fruit Juice,6000,Numbers / day,27-09-2016,27-09-2016,CD94A81B-93AA-4FE3-9262-6DDEB19A8138
